region,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
New York,2020-03-04,nowcast,2,1.6,2.5,1.9,2.2,0
New York,2020-03-05,nowcast,2,1.6,2.5,1.8,2.1,0
New York,2020-03-06,nowcast,2,1.6,2.5,1.8,2.1,0
New York,2020-03-07,nowcast,2,1.6,2.4,1.8,2.1,0
New York,2020-03-08,nowcast,1.9,1.6,2.4,1.8,2.1,0
New York,2020-03-09,nowcast,1.9,1.6,2.3,1.8,2.1,0
New York,2020-03-10,nowcast,1.9,1.5,2.3,1.7,2,0
New York,2020-03-11,nowcast,1.8,1.5,2.2,1.7,1.9,0
New York,2020-03-12,nowcast,1.8,1.5,2.2,1.6,1.9,0
New York,2020-03-13,nowcast,1.7,1.5,2.1,1.6,1.8,0
New York,2020-03-14,nowcast,1.7,1.4,2,1.6,1.8,0
New York,2020-03-15,nowcast,1.6,1.4,1.9,1.5,1.7,0
New York,2020-03-16,nowcast,1.6,1.3,1.8,1.5,1.7,0
New York,2020-03-17,nowcast,1.5,1.3,1.7,1.4,1.6,0
New York,2020-03-18,nowcast,1.4,1.3,1.6,1.4,1.5,0
New York,2020-03-19,nowcast,1.4,1.2,1.6,1.3,1.4,0
New York,2020-03-20,nowcast,1.3,1.2,1.5,1.3,1.4,0
New York,2020-03-21,nowcast,1.3,1.2,1.4,1.2,1.3,0
New York,2020-03-22,nowcast,1.2,1.1,1.4,1.2,1.3,0
New York,2020-03-23,nowcast,1.2,1.1,1.3,1.2,1.2,0
New York,2020-03-24,nowcast,1.2,1.1,1.3,1.1,1.2,0
New York,2020-03-25,nowcast,1.2,1.1,1.2,1.1,1.2,0
New York,2020-03-26,nowcast,1.1,1.1,1.2,1.1,1.2,0
New York,2020-03-27,nowcast,1.1,1.1,1.2,1.1,1.1,0
New York,2020-03-28,nowcast,1.1,1.1,1.2,1.1,1.1,0
New York,2020-03-29,nowcast,1.1,1,1.1,1.1,1.1,0
New York,2020-03-30,nowcast,1.1,1,1.1,1,1.1,0.01
New York,2020-03-31,nowcast,1,1,1.1,1,1.1,0.04
New York,2020-04-01,nowcast,1,1,1.1,1,1,0.18
New York,2020-04-02,nowcast,1,1,1,1,1,0.49
New York,2020-04-03,nowcast,1,1,1,1,1,0.79
New York,2020-04-04,nowcast,1,0.9,1,1,1,0.93
New York,2020-04-05,nowcast,1,0.9,1,0.9,1,0.99
New York,2020-04-06,nowcast,0.9,0.9,1,0.9,1,1
New York,2020-04-07,nowcast,0.9,0.9,1,0.9,0.9,1
New York,2020-04-08,nowcast,0.9,0.9,0.9,0.9,0.9,1
New York,2020-04-09,nowcast,0.9,0.9,0.9,0.9,0.9,1
New York,2020-04-10,nowcast,0.9,0.9,0.9,0.9,0.9,1
New York,2020-04-11,nowcast,0.9,0.9,0.9,0.9,0.9,1
New York,2020-04-12,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-04-13,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-04-14,nowcast,0.9,0.8,0.9,0.8,0.9,1
New York,2020-04-15,nowcast,0.9,0.8,0.9,0.8,0.9,1
New York,2020-04-16,nowcast,0.9,0.8,0.9,0.8,0.9,1
New York,2020-04-17,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-04-18,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-04-19,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-04-20,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-04-21,nowcast,0.9,0.8,0.9,0.8,0.9,1
New York,2020-04-22,nowcast,0.8,0.8,0.9,0.8,0.8,1
New York,2020-04-23,nowcast,0.8,0.7,0.8,0.8,0.8,1
New York,2020-04-24,nowcast,0.8,0.7,0.8,0.7,0.8,1
New York,2020-04-25,nowcast,0.8,0.7,0.8,0.7,0.8,1
New York,2020-04-26,nowcast,0.8,0.7,0.8,0.7,0.8,1
New York,2020-04-27,nowcast,0.8,0.7,0.8,0.7,0.8,1
New York,2020-04-28,nowcast,0.8,0.7,0.8,0.7,0.8,1
New York,2020-04-29,nowcast,0.8,0.7,0.8,0.7,0.8,1
New York,2020-04-30,nowcast,0.8,0.7,0.8,0.7,0.8,1
New York,2020-05-01,nowcast,0.8,0.7,0.8,0.7,0.8,1
New York,2020-05-02,nowcast,0.8,0.7,0.8,0.8,0.8,1
New York,2020-05-03,nowcast,0.8,0.7,0.9,0.8,0.8,1
New York,2020-05-04,nowcast,0.8,0.7,0.9,0.8,0.8,1
New York,2020-05-05,nowcast,0.8,0.8,0.9,0.8,0.8,1
New York,2020-05-06,nowcast,0.8,0.8,0.9,0.8,0.8,1
New York,2020-05-07,nowcast,0.8,0.8,0.9,0.8,0.9,1
New York,2020-05-08,nowcast,0.8,0.8,0.9,0.8,0.9,1
New York,2020-05-09,nowcast,0.9,0.8,0.9,0.8,0.9,1
New York,2020-05-10,nowcast,0.9,0.8,0.9,0.8,0.9,1
New York,2020-05-11,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-05-12,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-05-13,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-05-14,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-05-15,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-05-16,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-05-17,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-05-18,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-05-19,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-05-20,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-05-21,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-05-22,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-05-23,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-05-24,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-05-25,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-05-26,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-05-27,nowcast,0.9,0.8,0.9,0.9,0.9,1
New York,2020-05-28,nowcast,0.9,0.8,0.9,0.8,0.9,1
New York,2020-05-29,nowcast,0.9,0.8,0.9,0.8,0.9,1
New York,2020-05-30,nowcast,0.9,0.8,0.9,0.8,0.9,1
New York,2020-05-31,nowcast,0.9,0.8,0.9,0.8,0.9,1
New York,2020-06-01,nowcast,0.8,0.8,0.9,0.8,0.9,1
New York,2020-06-02,nowcast,0.8,0.8,0.9,0.8,0.9,1
New York,2020-06-03,nowcast,0.9,0.8,0.9,0.8,0.9,1
New York,2020-06-04,nowcast,0.9,0.8,0.9,0.8,0.9,1
New York,2020-06-05,nowcast,0.9,0.8,0.9,0.8,0.9,1
New York,2020-06-06,nowcast,0.9,0.8,1,0.9,0.9,0.99
New York,2020-06-07,nowcast,0.9,0.9,1,0.9,0.9,0.97
New York,2020-06-08,nowcast,0.9,0.9,1,0.9,1,0.91
New York,2020-06-09,nowcast,1,0.9,1,0.9,1,0.83
New York,2020-06-10,nowcast,1,0.9,1,0.9,1,0.75
New York,2020-06-11,forecast,1,0.9,1,0.9,1,0.74
New York,2020-06-12,forecast,1,0.9,1.1,0.9,1,0.72
New York,2020-06-13,forecast,1,0.9,1.1,0.9,1,0.69
New York,2020-06-14,forecast,1,0.9,1.1,0.9,1,0.68
New York,2020-06-15,forecast,1,0.9,1.1,0.9,1,0.67
New York,2020-06-16,forecast,1,0.8,1.1,0.9,1,0.67
New York,2020-06-17,forecast,1,0.8,1.1,0.9,1,0.65
New York,2020-06-18,forecast,1,0.8,1.1,0.9,1,0.64
New York,2020-06-19,forecast,1,0.8,1.1,0.9,1,0.64
New York,2020-06-20,forecast,1,0.8,1.1,0.9,1,0.63
New York,2020-06-21,forecast,1,0.8,1.1,0.9,1,0.62
New York,2020-06-22,forecast,1,0.8,1.1,0.9,1,0.62
New York,2020-06-23,forecast,1,0.8,1.2,0.9,1,0.62
New York,2020-06-24,forecast,1,0.8,1.2,0.9,1,0.61
